"","low_1","low_2","low_3","up_1","up_2","up_3","high_1","high_2","high_3","down_1","down_2","down_3","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Unique...razor.sequence.coverage....","Unique.sequence.coverage....","Mol..weight..kDa.","Q.value","Score","MS.MS.count","Protein.IDs","Majority.protein.IDs","Protein.names","Gene.names","id","uniprot","main_gene"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.5","1.5","1.5","125.69","0","1.9757","0","A5PLK6","A5PLK6","Regulator of G-protein signaling protein-like","RGSL1","27","A5PLK6","RGSL1"
"28",6426.60009765625,12351,11563,9274.400390625,13642,13040,11728,14229,11470,9165.2001953125,15200,11911,"1","1","1","2.2","2.2","2.2","46.523","0.0077106","1.0837","1","A5PLN9","A5PLN9","Trafficking protein particle complex subunit 13","TRAPPC13","28","A5PLN9","TRAPPC13"
"29",370390,625650,621800,364240,562050,595880,445950,603120,564290,368500,594210,579540,"16","16","16","8.2","8.2","8.2","266.94","0","39.579","22","A5YKK6","A5YKK6","CCR4-NOT transcription complex subunit 1","CNOT1","29","A5YKK6","CNOT1"
"30",1052600,1401200,1186900,837690,1480400,1224600,1255800,1415200,1121600,964710,1279800,1330800,"3","3","3","32","32","32","14.688","0","7.8676","6","Q9GZQ8;A6NCE7","Q9GZQ8;A6NCE7","Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2","MAP1LC3B;MAP1LC3B2","30","Q9GZQ8","MAP1LC3B"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2","2","2","53.974","0","1.9437","0","A6NCL7","A6NCL7","Ankyrin repeat domain-containing protein 33B","ANKRD33B","31","A6NCL7","ANKRD33B"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","3","3","3","90.834","0","93.041","0","A6ND36","A6ND36","Protein FAM83G","FAM83G","32","A6ND36","FAM83G"
"33",300890,365510,369420,243780,244130,299320,341110,368300,312070,310080,296480,302170,"5","5","5","22.7","22.7","22.7","34.006","0","9.5954","6","A6NDG6","A6NDG6","Phosphoglycolate phosphatase","PGP","34","A6NDG6","PGP"
"34",206380,235830,365150,144820,217540,287050,266520,332930,349980,273870,256480,285080,"4","4","4","22.8","22.8","22.8","33.62","0","43.633","9","A6NDU8","A6NDU8","UPF0600 protein C5orf51","C5orf51","35","A6NDU8","C5orf51"
"35",1465.30004882813,2062.19995117188,1300.80004882813,1301.19995117188,1451.80004882813,933.840026855469,1967,2379,1546.59997558594,NA,2032.59997558594,2407.10009765625,"1","1","1","2.9","2.9","2.9","40.078","0.0055531","1.2242","1","A6NED2","A6NED2","RCC1 domain-containing protein 1","RCCD1","36","A6NED2","RCCD1"
"36",10634,9173,14488,10491,12614,12949,15144,15967,16245,14432,14543,17559,"1","1","1","2.7","2.7","2.7","37.612","0.0088639","1.0396","2","A6NFA0","A6NFA0","Putative family with sequence similarity 205, member C protein","FAM205CP","37","A6NFA0","FAM205CP"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.4","1.4","1.4","108.44","0.00062131","1.68","1","A6NFI3","A6NFI3","Zinc finger protein 316","ZNF316","38","A6NFI3","ZNF316"
"38",33853,31293,44254,60979,30873,52195,41294,28570,27464,47764,21973,43012,"3","3","3","2.8","2.8","2.8","100.9","0","5.7456","3","A6NFQ2","A6NFQ2","TRPM8 channel-associated factor 2","TCAF2","39","A6NFQ2","TCAF2"
"39",30254,50675,68878,22841,45194,50486,22604,62304,50343,21516,51285,60789,"1","1","1","6.1","6.1","6.1","28.732","0.00015731","1.8967","2","A6NGC4","A6NGC4","TLC domain-containing protein 2","TLCD2","40","A6NGC4","TLCD2"
"40",26818,42041,47000,14328,29644,37459,32385,41766,41703,15434,43363,47871,"3","2","2","6.9","3.6","3.6","34.803","0","3.2799","2","A6NHQ2","A6NHQ2","rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1","FBLL1","41","A6NHQ2","FBLL1"
"41",71041,159490,174840,64906,133660,125430,80500,166580,165160,76232,142950,159260,"10","10","10","6.4","6.4","6.4","226.37","0","23.24","14","A6NHR9","A6NHR9","Structural maintenance of chromosomes flexible hinge domain-containing protein 1","SMCHD1","42","A6NHR9","SMCHD1"
"42",136630,205040,187120,111910,189440,171580,167430,195000,180760,148200,175400,182950,"2","2","2","9.4","9.4","9.4","36.056","0","28.588","4","A6NHX0;Q8WTX7","A6NHX0;Q8WTX7","GATS-like protein 2;GATS-like protein 3","GATSL2;GATSL3","43","A6NHX0","GATSL2"
"43",140230,162550,217020,143740,120100,157350,153470,170340,157260,147340,124050,139670,"3","3","3","14.7","14.7","14.7","28.136","0","13.033","4","A6NIH7","A6NIH7","Protein unc-119 homolog B","UNC119B","44","A6NIH7","UNC119B"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","3.7","3.7","3.7","45.124","0","44.341","0","A6NIX2","A6NIX2","Wilms tumor protein 1-interacting protein","WTIP","45","A6NIX2","WTIP"
"45",7804.2001953125,19229,25948,10554,18815,21932,11608,22553,22320,13842,19737,25235,"2","2","2","6.6","6.6","6.6","46.121","0","10.203","4","A6NJ78","A6NJ78","Probable methyltransferase-like protein 15","METTL15","46","A6NJ78","METTL15"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","7.7","7.7","7.7","43.553","0","185.66","0","A6NKF1","A6NKF1","SAC3 domain-containing protein 1","SAC3D1","47","A6NKF1","SAC3D1"
"47",47302,120190,124450,44104,94608,94259,40419,106820,98805,41620,90459,121410,"10","1","1","7.4","0.7","0.7","197.48","0","6.4536","3","A6NKT7;Q7Z3J3;Q99666;O14715;P0DJD0;P0DJD1","A6NKT7;Q7Z3J3;Q99666;O14715;P0DJD0;P0DJD1","RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4;RANBP2-like and GRIP domain-containing protein 5/6;RANBP2-like and GRIP domain-containing protein 8;RANBP2-like and GRIP domain-containing protein 1;RANBP2-like and GRIP domain-containing protein 2","RGPD3;RGPD4;RGPD5;RGPD8;RGPD1;RGPD2","48","A6NKT7","RGPD3"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","2","7.9","7.9","5.2","59.203","0","23.167","0","A6NMK8","A6NMK8","Protein FAM196B","FAM196B","49","A6NMK8","FAM196B"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.1","1.1","1.1","145.02","0.0099765","0.9813","1","A6NN14","A6NN14","Zinc finger protein 729","ZNF729","50","A6NN14","ZNF729"
"50",213120,277670,358230,188310,271240,255310,260130,298580,281830,235600,219590,290640,"3","3","3","28.3","28.3","28.3","13.246","0.00031368","1.8577","3","Q17RB0;A6ZKI3;Q9BWD3","Q17RB0;A6ZKI3;Q9BWD3","Protein FAM127C;Protein FAM127A;Protein FAM127B","FAM127C;FAM127A;FAM127B","51","Q17RB0","FAM127C"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","3.6","3.6","3.6","197.3","0","176.76","1","A7E2V4","A7E2V4","Zinc finger SWIM domain-containing protein 8","ZSWIM8","52","A7E2V4","ZSWIM8"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","1","1","1","230.53","0","3.2614","0","A7KAX9","A7KAX9","Rho GTPase-activating protein 32","ARHGAP32","53","A7KAX9","ARHGAP32"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.8","1.8","1.8","152","0","71.86","0","A7MBM2","A7MBM2","Protein dispatched homolog 2","DISP2","54","A7MBM2","DISP2"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","10.6","10.6","10.6","67.701","0","9.6294","3","A7MCY6","A7MCY6","TANK-binding kinase 1-binding protein 1","TBKBP1","55","A7MCY6","TBKBP1"
"55",7125.2998046875,18272,17624,5444.89990234375,12308,12246,9213.900390625,13023,12548,9538.7001953125,11096,11543,"8","8","2","9","9","4.2","125.09","0","120.43","6","A8CG34;A6NF01;Q6PJE2","A8CG34","Nuclear envelope pore membrane protein POM 121C","POM121C","56","A8CG34","POM121C"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","5.1","5.1","5.1","71.981","0","69.817","1","A8K855","A8K855","EF-hand calcium-binding domain-containing protein 7","EFCAB7","57","A8K855","EFCAB7"
"57",44748,60704,88499,39671,43440,56810,49587,64542,76945,42424,44089,64396,"1","1","1","14.1","14.1","14.1","9.3738","0.0061258","1.183","1","A8MSI8","A8MSI8","LYR motif-containing protein 9","LYRM9","58","A8MSI8","LYRM9"
"58",35539,27419,34682,34420,22168,34636,43905,23610,35897,35994,17408,35329,"4","4","4","10.3","10.3","10.3","87.434","0","43.977","3","A8MVW0","A8MVW0","Protein FAM171A2","FAM171A2","59","A8MVW0","FAM171A2"
"59",124260,170610,331650,156680,152060,249940,213130,220390,271850,209530,189960,301150,"4","4","4","5.7","5.7","5.7","113.84","0.004382","1.2991","4","A8MWY0","A8MWY0","UPF0577 protein KIAA1324-like","KIAA1324L","60","A8MWY0","KIAA1324L"
"60",46218,75658,79144,55396,52280,68464,53409,50602,54640,56603,42522,56825,"1","1","1","3.5","3.5","3.5","42.233","0","2.5665","1","A8MXV4","A8MXV4","Nucleoside diphosphate-linked moiety X motif 19, mitochondrial","NUDT19","61","A8MXV4","NUDT19"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","3.6","3.6","3.6","54.652","0.0056972","1.2101","0","A8MY62","A8MY62","Putative beta-lactamase-like 1","LACTBL1","62","A8MY62","LACTBL1"
"62",210590,363600,379350,191870,309840,331330,238940,351930,321630,229070,334490,335820,"4","4","4","24.3","24.3","24.3","25.423","0","43.866","6","A9UHW6","A9UHW6","MIF4G domain-containing protein","MIF4GD","63","A9UHW6","MIF4GD"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","4","3","2.6","2.2","292.7","0","72.217","1","B2RTY4","B2RTY4","Unconventional myosin-IXa","MYO9A","64","B2RTY4","MYO9A"
"64",408000,527220,712890,346590,428230,457120,499690,506640,560160,413540,443800,546550,"2","2","2","5.5","5.5","5.5","52.916","0","8.1701","5","P0CG08;B7ZAQ6","P0CG08;B7ZAQ6","Golgi pH regulator B;Golgi pH regulator A","GPR89B;GPR89A","67","P0CG08","GPR89B"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","12.8","12.8","12.8","38.018","0","42.432","2","B7ZBB8","B7ZBB8","Protein phosphatase 1 regulatory subunit 3G","PPP1R3G","68","B7ZBB8","PPP1R3G"
"66",136830,295830,295760,117250,217950,223410,186180,254000,235620,164500,220320,228390,"6","6","3","17.1","17.1","8.2","49.994","0","90.202","11","C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3","C4AMC7;Q6VEQ5;A8K0Z3","Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1","WASH3P;WASH2P;WASH1","69","C4AMC7","WASH3P"
"67",19798,25927,29484,17356,23442,20763,21095,30439,27710,21347,23541,33855,"1","1","1","16.8","16.8","16.8","15.2","0","21.362","3","C9J7I0","C9J7I0","UBAP1-MVB12-associated (UMA)-domain containing protein 1","UMAD1","70","C9J7I0","UMAD1"
"68",374320,572680,693340,304660,463180,534010,406520,490660,504500,384470,369770,512410,"4","4","4","52.6","52.6","52.6","10.92","0","210.1","6","C9JLW8","C9JLW8","Protein FAM195B","FAM195B","71","C9JLW8","FAM195B"
"69",832510,1431300,1649600,767630,1192900,1417200,904830,1403200,1417300,943510,1185900,1356200,"6","6","6","3.5","3.5","3.5","205.42","0","42.577","11","E9PAV3;Q13765;Q9BZK3","E9PAV3;Q13765","Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha","NACA","171","E9PAV3","NACA"
"70",2595.69995117188,6442.2998046875,7640,1584.59997558594,3877.19995117188,6690.2001953125,4183.5,6605.5,6410.10009765625,3641.19995117188,4130.7001953125,5718.2001953125,"2","2","2","21.1","21.1","21.1","14.234","0.0059898","1.2047","2","E9PRG8","E9PRG8","Uncharacterized protein C11orf98","C11orf98","172","E9PRG8","C11orf98"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","6.7","6.7","6.7","16.805","0.0095532","0.99754","2","F5HCD4","F5HCD4","","","173","F5HCD4",NA
"72",28782,32428,31129,32764,30912,28463,37500,30361,32970,36169,26531,32623,"4","4","4","14.7","14.7","14.7","39.58","0","7.2133","6","O00115","O00115","Deoxyribonuclease-2-alpha","DNASE2","175","O00115","DNASE2"
"73",1277300,1721000,2121300,962920,1431500,1619000,1103900,1657700,1740000,1020000,1486800,1714700,"13","13","13","28.4","28.4","28.4","72.911","0","118.42","26","O00116","O00116","Alkyldihydroxyacetonephosphate synthase, peroxisomal","AGPS","176","O00116","AGPS"
"74",220540,283750,362690,197130,215040,281370,232590,286710,302570,226390,232960,293930,"11","11","10","19.3","19.3","17.1","79.954","0","73.611","14","O00139;Q99661","O00139","Kinesin-like protein KIF2A","KIF2A","177","O00139","KIF2A"
"75",114700,293210,304610,119050,283180,254160,150420,288450,234120,145940,311780,274370,"4","4","4","21.5","21.5","21.5","31.004","0","5.5801","5","O00142","O00142","Thymidine kinase 2, mitochondrial","TK2","178","O00142","TK2"
"76",108750,209200,214280,86149,170710,201280,112750,149720,155270,93677,122270,190080,"10","2","2","23.7","7.3","7.3","49.129","0","32.198","5","O00148","O00148","ATP-dependent RNA helicase DDX39A","DDX39A","179","O00148","DDX39A"
"77",4063100,3208800,5428800,3799000,3034800,4390900,4049400,3086900,3358900,3670700,2420900,3579800,"17","17","17","73.6","73.6","73.6","36.071","0","302.88","54","O00151","O00151","PDZ and LIM domain protein 1","PDLIM1","180","O00151","PDLIM1"
"78",2407600,1627700,2031700,2100500,1336000,1625000,3074900,1597400,1652500,2856100,1482800,1782000,"10","10","10","32.6","32.6","32.6","41.796","0","43.019","23","O00154","O00154","Cytosolic acyl coenzyme A thioester hydrolase","ACOT7","181","O00154","ACOT7"
"79",9289600,15685000,17895000,9043800,13110000,13601000,13867000,15809000,15078000,12899000,14283000,14688000,"58","58","58","48.8","48.8","48.8","121.68","0","323.31","112","O00159","O00159","Unconventional myosin-Ic","MYO1C","182","O00159","MYO1C"
"80",256950,383100,489570,236320,302530,344980,346600,390890,450300,338230,314970,371600,"9","9","9","60.2","60.2","60.2","23.354","0","323.31","14","O00161","O00161","Synaptosomal-associated protein 23","SNAP23","183","O00161","SNAP23"
"81",46771,75386,99054,41503,51585,68481,49096,76238,76266,55217,69222,81198,"3","3","3","10.8","10.8","10.8","31.62","0","5.0591","7","O00165","O00165","HCLS1-associated protein X-1","HAX1","184","O00165","HAX1"
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2.8","2.8","2.8","59.231","0","2.4115","0","O00167","O00167","Eyes absent homolog 2","EYA2","185","O00167","EYA2"
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","1","37","37","17.4","10.441","0","69.112","0","O00168","O00168","Phospholemman","FXYD1","186","O00168","FXYD1"
"84",350010,653180,755500,351200,578540,630310,434270,684670,693030,391380,592480,652000,"12","12","12","38.5","38.5","38.5","37.636","0","39.555","24","O00170","O00170","AH receptor-interacting protein","AIP","187","O00170","AIP"
"85",381450,635700,720930,291160,486510,558950,424910,579690,538970,371170,462400,548820,"8","8","8","19.7","19.7","19.7","72.453","0","323.31","9","O00178","O00178","GTP-binding protein 1","GTPBP1","188","O00178","GTPBP1"
"86",1301600,2418400,2614800,1110300,2003800,2110800,1360500,2324400,2193200,1402500,2100100,2065300,"17","17","17","34.5","34.5","34.5","67.764","0","156.08","27","O00186","O00186","Syntaxin-binding protein 3","STXBP3","189","O00186","STXBP3"
"87",4259.7998046875,2091.60009765625,1985.59997558594,4549.89990234375,2765.60009765625,932.090026855469,5595.39990234375,2732.5,792.320007324219,5281,1789.80004882813,1333.59997558594,"4","4","4","7.5","7.5","7.5","104.64","0","306.32","2","O00192","O00192","Armadillo repeat protein deleted in velo-cardio-facial syndrome","ARVCF","190","O00192","ARVCF"
"88",28422,57121,72255,27781,42918,44160,44777,54107,49119,35280,44941,52545,"6","6","6","26.2","26.2","26.2","20.332","0","323.31","3","O00193","O00193","Small acidic protein","SMAP","191","O00193","SMAP"
"89",1696400,2336400,3136200,1587500,2167900,2595100,2151200,2616700,3046000,1950400,2255100,2847300,"28","28","28","26.4","26.4","26.4","121.32","0","75.417","40","O00203;Q13367","O00203","AP-3 complex subunit beta-1","AP3B1","192","O00203","AP3B1"
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","7.1","7.1","7.1","23.413","0","6.2964","1","O00212","O00212","Rho-related GTP-binding protein RhoD","RHOD","193","O00212","RHOD"
"91",11821,18632,17880,12836,14871,16664,21783,21802,16142,24859,11946,22667,"3","3","3","8","8","8","77.243","0","27.783","3","O00213","O00213","Amyloid beta A4 precursor protein-binding family B member 1","APBB1","194","O00213","APBB1"
"92",199810,394300,412220,181210,293520,287290,247340,330130,316010,206100,326620,326660,"5","5","5","23.3","23.3","23.3","23.705","0","15.119","11","O00217","O00217","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","NDUFS8","195","O00217","NDUFS8"
"93",22554,35334,48200,18788,34709,38333,31290,31516,40689,30781,32265,29566,"5","5","5","17.4","17.4","17.4","52.863","0","11.696","6","O00221","O00221","NF-kappa-B inhibitor epsilon","NFKBIE","196","O00221","NFKBIE"
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1.8","1.8","1.8","101.74","0.0092852","1.0149","1","O00222","O00222","Metabotropic glutamate receptor 8","GRM8","197","O00222","GRM8"
"95",2239900,3136000,3741900,2254200,2578000,2916600,2472300,2871800,2787700,2563900,2547900,2813100,"25","25","25","56.9","56.9","56.9","47.463","0","323.31","43","O00231","O00231","26S proteasome non-ATPase regulatory subunit 11","PSMD11","198","O00231","PSMD11"
"96",1242700,1581500,1976800,1194200,1571200,1492700,1333600,1609400,1552600,1246500,1501900,1493000,"14","14","14","30.3","30.3","30.3","52.904","0","89.859","28","O00232","O00232","26S proteasome non-ATPase regulatory subunit 12","PSMD12","199","O00232","PSMD12"
"97",359400,372830,489760,358730,347980,442680,394060,401520,386460,354840,323430,431990,"9","9","9","36.8","36.8","36.8","24.682","0","137.8","19","O00233","O00233","26S proteasome non-ATPase regulatory subunit 9","PSMD9","200","O00233","PSMD9"
"98",1957300,1800700,2679100,1686300,1756200,2242100,2174500,1576200,1932300,2181600,1534300,2148100,"7","7","7","86.8","86.8","86.8","7.4016","0","83.968","21","O00244","O00244","Copper transport protein ATOX1","ATOX1","201","O00244","ATOX1"
"99",1414200,1197400,1373600,1448800,1114800,1095700,2340500,1664500,1466900,2102500,1556600,1573700,"15","15","14","49.7","49.7","45.1","21.671","0","323.31","30","O00264","O00264","Membrane-associated progesterone receptor component 1","PGRMC1","202","O00264","PGRMC1"
"100",120570,194860,208670,108430,177780,178030,134080,180000,190150,132630,165170,181570,"9","9","9","12.1","12.1","12.1","121","0","57.208","11","O00267","O00267","Transcription elongation factor SPT5","SUPT5H","203","O00267","SUPT5H"
"101",7280.5,18349,12791,9449.099609375,13993,13507,7733.2001953125,15401,10576,7999.5,15635,14142,"3","3","3","7.3","7.3","7.3","110.11","0","7.4457","4","O00268","O00268","Transcription initiation factor TFIID subunit 4","TAF4","204","O00268","TAF4"
"102",371530,501550,623480,409750,431710,522020,533860,594710,576000,525130,536480,564600,"11","11","11","38.4","38.4","38.4","36.521","0","116.27","21","O00273","O00273","DNA fragmentation factor subunit alpha","DFFA","205","O00273","DFFA"
