M7	M8	M9	M10	M1	M11	M2	M12	M3	M4	M5	M6	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
2465.69995117188	2581.30004882813	3806.19995117188	2660.10009765625	3164.5	3660.19995117188	6211.7001953125	5964.7998046875	5110.10009765625	3339	4803.5	4102.2001953125	4	4	3	2.2	2.2	2.1	160.75	0	50.592	2	A2AM05;A2AM05-4;A2AM05-2	A2AM05;A2AM05-4;A2AM05-2	Centlein	Cntln	49
1438400	1088900	1287500	1080800	1384100	1194600	1827000	1645200	1848800	1493000	1763100	1967400	44	44	44	11.7	11.7	11.7	572.28	0	323.31	71	A2AN08;A2AN08-5;A2AN08-3;A2AN08-2;A2AN08-4	A2AN08;A2AN08-5;A2AN08-3;A2AN08-2	E3 ubiquitin-protein ligase UBR4	Ubr4	50
101940	142370	205970	75810	102000	141680	192670	238130	260500	100350	190590	232440	10	10	9	8.6	8.6	7.3	123.1	0	157.34	5	A2APV2;A2APV2-2;A2APV2-3	A2APV2;A2APV2-2;A2APV2-3	Formin-like protein 2	Fmnl2	51
87282	87746	90170	56949	86202	75882	122140	122050	116200	77885	109590	100190	2	2	2	7	7	7	38.404	0	5.1532	4	A2APY7;A2APY7-2	A2APY7;A2APY7-2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5	Ndufaf5	52
36203	26661	31122	24632	30625	26911	38338	34722	36215	33321	32668	32312	3	3	3	4.6	4.6	4.6	80.796	0.00031641	3.2842	3	A2AQ19	A2AQ19	RNA polymerase-associated protein RTF1 homolog	Rtf1	53
4895.60009765625	8499.7001953125	2458.89990234375	3697.60009765625	2919.89990234375	9217	7377.60009765625	4572.39990234375	5123.2001953125	2954.80004882813	6900.5	4007.39990234375	8	8	8	6.5	6.5	6.5	213.03	0	323.31	1	A2AQ25;A2AQ25-4;A2AQ25-3;A2AQ25-2;A2AQ25-8;A2AQ25-9;A2AQ25-6;A2AQ25-5;A2AQ25-7	A2AQ25;A2AQ25-4;A2AQ25-3;A2AQ25-2;A2AQ25-8;A2AQ25-9;A2AQ25-6;A2AQ25-5	Sickle tail protein	Skt	54
278550	211850	241060	230320	271470	181570	294750	300780	302160	293530	279340	399530	12	12	12	17.2	17.2	17.2	88.324	0	323.31	6	A2AR02	A2AR02	Peptidyl-prolyl cis-trans isomerase G	Ppig	55
2470.89990234375	3356.39990234375	11568	997.77001953125	2454.10009765625	3701	9179.7998046875	11986	11863	2818.10009765625	7808.5	11478	2	2	2	7	7	7	65.474	0	27.533	1	A2AR50;A2AR50-3;A2AR50-2	A2AR50;A2AR50-3;A2AR50-2	Ras-specific guanine nucleotide-releasing factor RalGPS1	Ralgps1	56
824500	856290	631090	721790	473180	971460	909250	634210	487660	547740	884550	478910	12	12	12	11	11	11	117.55	0	31.969	26	A2ARA8;A2ARA8-2	A2ARA8;A2ARA8-2	Integrin alpha-8;Integrin alpha-8 heavy chain;Integrin alpha-8 light chain	Itga8	57
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	0.7	0.7	0.7	159.92	0	61.58	0	A2ARP1;A2ARP1-3;A2ARP1-2	A2ARP1;A2ARP1-3;A2ARP1-2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1	58
13243	13845	18114	11121	12355	13168	18405	19170	27084	16590	22170	22057	3	3	3	11.4	11.4	11.4	39.776	0	13.29	4	A2AS55	A2AS55	Ankyrin repeat domain-containing protein 16	Ankrd16	59
55286	51473	86708	41636	59597	56681	123650	108780	118320	82777	128780	161820	8	8	8	0.3	0.3	0.3	3906.4	0	7.6541	9	A2ASS6;A2ASS6-2	A2ASS6;A2ASS6-2	Titin	Ttn	60
112680	86986	100820	84746	82686	82813	140380	127590	133280	97636	128760	144160	5	5	5	5.8	5.8	5.8	147.55	0	40.383	9	A2AT37	A2AT37		Upf2	61
38617	39851	54481	29272	35984	43029	74770	60236	76709	39608	72250	74440	2	2	2	2.5	2.5	2.5	102.79	0.0010791	2.7806	2	A2ATU0	A2ATU0	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial	Dhtkd1	62
245040	102150	231340	182860	151190	131980	127150	262500	164040	156870	113590	140090	21	21	21	8.1	8.1	8.1	387.45	0	215.83	34	A2AVA0;A2AVA0-2	A2AVA0	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	Svep1	63
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	3.6	3.6	3.6	56.033	0.00031432	3.1424	1	A2AVZ9	A2AVZ9	Solute carrier family 43 member 3	Slc43a3	64
468540	368940	497480	369080	429500	375130	632020	561550	675570	486440	562890	746340	12	12	12	16.2	16.2	16.2	120.8	0	170.6	16	A2AWA9;A2AWA9-2;A6H6A9-3;A2AWA9-3	A2AWA9;A2AWA9-2	Rab GTPase-activating protein 1	Rabgap1	65
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	5.2	5.2	5.2	38.594	0	23.187	0	A2AWT3;A2AWT3-2	A2AWT3;A2AWT3-2	Ataxin-7-like protein 3	Atxn7l3	66
115260	117660	121370	94341	109030	127370	196310	165960	195870	135730	166150	207610	11	11	11	27	27	27	49.374	0	85.336	15	A2BDX3	A2BDX3	Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase	Mocs3	67
21283	15740	19047	18785	18692	16845	21032	27712	22021	22782	24017	24320	3	3	3	5	5	5	89.413	0	4.6694	2	A2BE28;A2BE28-2	A2BE28;A2BE28-2	Ribosomal biogenesis protein LAS1L	Las1l	68
33343	24736	30972	31987	35185	28624	37678	41952	46175	37905	36594	41126	11	10	10	7.2	6.9	6.9	242.09	0	68.271	10	A2BH40;A2BH40-3;A2BH40-4;A2BH40-2	A2BH40;A2BH40-3;A2BH40-4;A2BH40-2	AT-rich interactive domain-containing protein 1A	Arid1a	69
40224	101980	40413	37688	34792	98895	102880	75164	56981	43355	110910	69753	12	7	5	4.4	2.7	1.9	337	0	323.31	6	A2CG49;A2CG49-2;A2CG49-7;A2CG49-9;A2CG49-8;A2CG49-10;A2CG49-5;A2CG49-6	A2CG49;A2CG49-2;A2CG49-7;A2CG49-9;A2CG49-8;A2CG49-10;A2CG49-5	Kalirin	Kalrn	70
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	2	2	9.8	5.3	5.3	75.716	0	4.3931	2	A2CG49-4	A2CG49-4	Kalirin	Kalrn	71
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	2	2	2	147.64	0	55.41	1	A2CG63;A2CG63-2	A2CG63;A2CG63-2	AT-rich interactive domain-containing protein 4B	Arid4b	72
191140	234690	235390	151620	220280	235890	417160	285800	378830	215580	395220	371510	14	14	14	16	16	16	161.94	0	323.31	18	A2RSJ4	A2RSJ4	UHRF1-binding protein 1-like	Uhrf1bp1l	73
5534.39990234375	6256.2001953125	5669.2001953125	4444.10009765625	5256.39990234375	4879.39990234375	7710.2998046875	6675.89990234375	8242.400390625	4617.2001953125	5794.7001953125	7820.2001953125	1	1	1	7.3	7.3	7.3	36.632	0.0058806	2.0802	1	A2RSX7	A2RSX7	tRNA wybutosine-synthesizing protein 5	Tyw5	74
2924.5	2849.69995117188	2473.60009765625	2442.89990234375	2983.5	2554	3715.39990234375	4051.60009765625	2751.39990234375	2507.10009765625	3088.69995117188	4234.89990234375	2	2	2	3.4	3.4	3.4	96.134	0.002129	2.5179	2	A2RSY1;A2RSY1-3;A2RSY1-2	A2RSY1;A2RSY1-3;A2RSY1-2	KAT8 regulatory NSL complex subunit 3	Kansl3	75
231650	172510	178630	190510	154060	182250	186840	201270	173210	174360	169260	183080	8	8	8	15.5	15.5	15.5	80.86	0	78.032	13	A2RSY6;A2RSY6-2;A2RSY6-4;A2RSY6-3	A2RSY6;A2RSY6-2	TRMT1-like protein	Trmt1l	76
1709.5	1298.69995117188	2506.10009765625	2792.60009765625	1988.5	2295.30004882813	2230.10009765625	2889	1878.69995117188	2797.89990234375	2946.39990234375	1920.09997558594	2	2	2	5.9	5.9	5.9	43.876	0	4.3086	2	A2RTL5	A2RTL5	Arginine/serine-rich coiled-coil protein 2	Rsrc2	77
420910	217970	422830	286480	352730	275120	393950	506860	527780	314580	330750	526580	10	10	10	12.3	12.3	12.3	127.89	0	134.68	18	A3KGB4	A3KGB4	TBC1 domain family member 8B	Tbc1d8b	78
14995	11640	15761	11136	11063	19533	24055	17104	16865	9263.400390625	14174	11079	4	4	4	7.9	7.9	7.9	58.688	0	6.4419	3	A3KGF9	A3KGF9	Uncharacterized protein C15orf52 homolog		79
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	1	1	1.7	1.1	1.1	210.29	0	83.162	0	A3KGS3;A3KGS3-2	A3KGS3;A3KGS3-2	Ral GTPase-activating protein subunit alpha-2	Ralgapa2	80
3976.39990234375	5658.7001953125	7131.89990234375	3864.89990234375	6114.10009765625	2902.19995117188	7507.7998046875	5267.60009765625	8434.400390625	6238.89990234375	9495.099609375	8182.7998046875	3	3	3	7.7	7.7	7.7	95.555	0	81.523	1	A3KGV1-4;A3KGV1-2;A3KGV1-3;A3KGV1;A3KGV1-5;A3KGV1-7;A3KGV1-6	A3KGV1-4;A3KGV1-2;A3KGV1-3;A3KGV1;A3KGV1-5	Outer dense fiber protein 2	Odf2	81
157310	107610	143870	103750	118980	108330	166240	182330	187180	144180	146380	228530	5	5	5	11.5	11.5	11.5	67.671	0	7.1859	7	A3KGW5	A3KGW5	Probable inactive glycosyltransferase 25 family member 3	Cercam	82
362520	280610	349170	294470	302620	275850	388460	445180	419390	347080	389680	516590	8	8	8	21.5	21.5	21.5	52.223	0	85.18	13	A3KMP2;A3KMP2-2	A3KMP2;A3KMP2-2	Tetratricopeptide repeat protein 38	Ttc38	83
334640	306840	446090	311040	318070	320820	448030	491610	558160	360550	448830	534540	11	11	11	10.6	10.6	10.6	139.07	0	63.264	13	A6H5Y3	A6H5Y3	Methionine synthase	Mtr	85
447420	365910	519680	378210	377010	416640	608640	602210	651980	451430	589440	715190	11	11	11	17.2	17.2	17.2	94.128	0	323.31	22	A6H5Z3;A6H5Z3-2	A6H5Z3;A6H5Z3-2	Exocyst complex component 6B	Exoc6b	86
46038	31629	51172	37407	37879	38084	69105	62726	60085	43755	62003	47279	2	2	2	4.1	4.1	4.1	80.851	0	4.1254	3	A6H611	A6H611	Mitochondrial intermediate peptidase	Mipep	87
28480	19152	23140	25868	30431	20277	30454	28551	28662	31230	24402	22758	6	6	6	4.8	4.8	4.8	184.08	0	323.31	2	A6H619;A6H619-2	A6H619;A6H619-2	PHD and RING finger domain-containing protein 1	Phrf1	88
91005	104570	103610	76116	101540	114310	145310	152750	160200	89190	151950	182490	3	3	3	7.4	7.4	7.4	92.403	0	23.296	8	A6H6A9;A6H6A9-2	A6H6A9;A6H6A9-2	Rab GTPase-activating protein 1-like	Rabgap1l	89
370800	260430	283730	321160	346500	279240	382590	372150	337090	328300	307690	339380	20	20	20	13.3	13.3	13.3	211.46	0	323.31	8	A6H8H2;A6H8H2-2	A6H8H2;A6H8H2-2	DENN domain-containing protein 4C	Dennd4c	90
47980	26450	45072	31766	40836	23773	62319	61845	69638	51699	50061	71589	16	16	16	19	19	19	155.27	0	323.31	8	A6X8Z5	A6X8Z5	Rho GTPase-activating protein 31	Arhgap31	91
10949	10494	16981	11904	11731	12430	18056	19598	21777	13663	21139	22290	6	6	5	8.7	8.7	6.2	84.186	0	323.31	2	A6X919;A6X919-3	A6X919	Probable C-mannosyltransferase DPY19L1	Dpy19l1	92
95380	87391	95879	91299	94696	100760	112750	109420	104560	98110	109990	125480	3	3	3	1.8	1.8	1.8	217.29	0	6.0765	3	A8C756;A8C756-5;A8C756-3;A8C756-2	A8C756	Thyroid adenoma-associated protein homolog	Thada	93
44518	17011	36156	25103	29730	28149	27408	41160	38181	30531	30631	46894	3	3	3	4.8	4.8	4.8	97.347	0	62.174	3	B0F2B4	B0F2B4	Neuroligin 4-like	Nlgn4l	94
241930	179790	233880	184000	161190	204330	226980	252690	206310	170390	213320	232340	8	8	8	6.4	6.4	6.4	206.82	0	17.163	11	B0V2N1-6;B0V2N1;B0V2N1-2;B0V2N1-4;B0V2N1-3;B0V2N1-5;Q64487;Q64487-10;Q64487-6;Q64487-5;Q64487-8;Q64487-7;Q64487-1;Q64487-9;Q64487-3;Q64487-12;Q64487-2;Q64487-11;A2A8L5	B0V2N1-6;B0V2N1;B0V2N1-2;B0V2N1-4;B0V2N1-3	Receptor-type tyrosine-protein phosphatase S	Ptprs	95
110570	78763	81470	67054	66252	82357	104640	107890	90832	75391	118650	112980	6	6	6	32.1	32.1	32.1	15.676	0	68.913	7	B1AR13	B1AR13	CDGSH iron-sulfur domain-containing protein 3, mitochondrial	Cisd3	96
12773	11970	10773	11907	10367	10141	12280	13209	14092	13734	11134	11059	2	2	2	26.4	26.4	26.4	11.318	0.0010768	2.7335	3	B1ARW8	B1ARW8	Uncharacterized protein C1orf122 homolog		97
58678	21375	177000	56198	49926	30290	65541	201100	246970	68432	48264	254490	6	6	6	8.9	8.9	8.9	76.433	0	28.365	7	B1AVD1	B1AVD1		Xpnpep2	98
132140	95830	99970	114430	155440	110740	153290	92002	137300	126940	161260	157380	7	7	7	10.5	10.5	10.5	104.26	0	140.1	4	B1AVH7	B1AVH7	TBC1 domain family member 2A	Tbc1d2	99
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	2.1	2.1	2.1	150.06	0	3.8618	1	B1AVY7	B1AVY7	Kinesin-like protein KIF16B	Kif16b	100
142960	138980	234890	138540	125120	176910	195680	256650	234020	157250	189230	279430	7	7	6	33.2	33.2	28.4	34.278	0	123.28	7	B1AVZ0	B1AVZ0	Uracil phosphoribosyltransferase homolog	Uprt	101
